NodeId,NodeName,TaskId,TaskName,StartTime,EndTime
3,D,0,iMU,0,0.01
3,D,4,altimeter,0.0100146,0.0200146
3,D,7,camera2,0.0200152,0.0300152
3,D,3,rectifyImage2,0.0300152,52.03
3,D,0,iMU,52.1139,52.1239
3,D,0,iMU,52.1239,52.1339
3,D,0,iMU,52.1339,52.1439
3,D,0,iMU,52.1439,52.1539
3,D,7,camera2,52.154,52.164
3,D,0,iMU,52.164,52.174
3,D,3,rectifyImage2,52.174,104.174
3,D,0,iMU,104.258,104.268
3,D,0,iMU,104.268,104.278
3,D,4,altimeter,104.278,104.288
3,D,0,iMU,104.288,104.298
3,D,0,iMU,104.298,104.308
3,D,7,camera2,104.308,104.318
3,D,0,iMU,104.318,104.328
3,D,3,rectifyImage2,104.328,156.328
3,D,0,iMU,156.412,156.422
3,D,0,iMU,156.422,156.432
3,D,0,iMU,156.432,156.442
3,D,0,iMU,156.442,156.452
3,D,7,camera2,156.452,156.462
3,D,0,iMU,156.462,156.472
3,D,3,rectifyImage2,156.472,208.472
3,D,4,altimeter,208.556,208.566
3,D,0,iMU,208.566,208.576
3,D,0,iMU,208.576,208.586
3,D,0,iMU,208.586,208.596
3,D,0,iMU,208.596,208.606
3,D,7,camera2,208.606,208.616
3,D,0,iMU,208.616,208.626
3,D,3,rectifyImage2,208.626,260.626
3,D,0,iMU,260.71,260.72
3,D,0,iMU,260.72,260.73
3,D,0,iMU,260.73,260.74
3,D,4,altimeter,260.74,260.75
3,D,0,iMU,260.75,260.76
3,D,7,camera2,260.76,260.77
3,D,0,iMU,260.77,260.78
3,D,0,iMU,260.78,260.79
3,D,3,rectifyImage2,260.79,312.79
3,D,0,iMU,312.874,312.884
3,D,0,iMU,312.884,312.894
3,D,0,iMU,312.894,312.904
3,D,7,camera2,312.904,312.914
3,D,0,iMU,312.914,312.924
3,D,0,iMU,312.924,312.934
3,D,3,rectifyImage2,312.934,364.934
3,D,4,altimeter,365.018,365.028
3,D,0,iMU,365.028,365.038
3,D,0,iMU,365.038,365.048
3,D,0,iMU,365.048,365.058
3,D,7,camera2,365.058,365.068
3,D,0,iMU,365.068,365.078
3,D,0,iMU,365.078,365.088
4,E,12,camera1,0,0.01
4,E,6,rectifyImage1,0.01,52.01
4,E,12,camera1,52.0939,52.1039
4,E,6,rectifyImage1,52.1039,104.104
4,E,12,camera1,104.188,104.198
4,E,6,rectifyImage1,104.198,156.198
4,E,12,camera1,156.282,156.292
4,E,6,rectifyImage1,156.292,208.292
4,E,12,camera1,208.376,208.386
4,E,6,rectifyImage1,208.386,260.386
4,E,12,camera1,260.469,260.479
4,E,6,rectifyImage1,260.479,312.479
4,E,12,camera1,312.563,312.573
4,E,6,rectifyImage1,312.573,364.573
4,E,12,camera1,364.657,364.667
