NodeId,NodeName,TaskId,TaskName,StartTime,EndTime
0,DisplayNode,0,DisplayTask,0.900372,1.00037
0,DisplayNode,0,DisplayTask,1.90012,2.00012
0,DisplayNode,0,DisplayTask,2.00012,2.10012
0,DisplayNode,0,DisplayTask,2.10012,2.20012
0,DisplayNode,0,DisplayTask,2.90012,3.00012
0,DisplayNode,0,DisplayTask,3.00012,3.10012
0,DisplayNode,0,DisplayTask,3.10012,3.20012
1,CameraNode1,1,CaptureImage1,0,0.9
1,CameraNode1,1,CaptureImage1,1,1.9
1,CameraNode1,1,CaptureImage1,2,2.9
1,CameraNode1,1,CaptureImage1,3,3.9
2,CameraNode2,2,CaptureImage2,0,0.9
2,CameraNode2,2,CaptureImage2,1,1.9
2,CameraNode2,2,CaptureImage2,2,2.9
2,CameraNode2,2,CaptureImage2,3,3.9
3,CameraNode3,3,CaptureImage3,0,0.9
3,CameraNode3,3,CaptureImage3,1,1.9
3,CameraNode3,3,CaptureImage3,2,2.9
3,CameraNode3,3,CaptureImage3,3,3.9
